customer_id,interaction,uid,city,state,country,zip,lat,lng,population,area,job,children,age,income,marital,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internet_service,phone,multiple,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,day_time,year,bandwidth_gb_year
E443113,aa90260b-4141-4a24-8e36-b04ce1f4f77b,e885b299883d4f9fb18e39c75155d990,West Branch,CA,Fort Bend,93701,56.251,-133.37571,10274,Urban,Environmental health practitioner,0,22,22019.11,Widowed,Male,No,7.86736,10,0,1,Yes,One year,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),70.14031,202.65,Afternoon,2021,7158.98153
D655990,fb76459f-c047-4a9d-8af9-e0f7d4ac2524,f2de8bef964785f41a2959829830fb8a,Yamhill,CA,San Diego,75230,44.32893,-84.2408,27872,Suburban,"Programmer, multimedia",1,27,48630.21,Married,Female,Yes,11.7323,12,0,1,Yes,Month-to-month,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),70.44382,225.1457,Morning,2021,7138.308718
N761090,344d114c-3736-4be5-98f7-c72c281e2d35,f1784cfa9f6d92ae816197eb175d3c71,Point Baker,MI,Fort Bend,81526,45.35589,-123.24657,5582,Urban,Chief Financial Officer,4,29,95064.28,Widowed,Female,No,9.867609,9,0,1,No,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),70.49752,257.6375,Evening,2021,7096.494932
G569062,abfa2b40-2d43-4994-b15a-989b8c79e311,dc8a365077241bb5cd5ccd305136b05e,Needville,OR,Ogemaw,50264,32.96687,-117.24798,460,Urban,Solicitor,1,59,42760.04,Married,Male,No,5.65608,15,2,0,No,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,71.64551,225.1457,Afternoon,2021,7084.802797
Q26506,68a861fd-0d20-4e51-a587-8a90407ee574,aabb64a116e83fdc4befc1fbab1663f9,Del Mar,CA,Yamhill,29934,29.38012,-95.80673,1150,Urban,Medical illustrator,0,65,12555.95,Separated,Male,Yes,7.611319,16,2,1,Yes,Month-to-month,Yes,No,DSL,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,70.7555,255.1336,Afternoon,2022,7081.306842
F341472,2b451d12-6c2b-4cea-a295-ba1d6bced078,97598fd95658c80500546bc1dd312994,Needville,OR,Fort Bend,43106,32.57032,-83.8904,1589,Suburban,Chief Technology Officer,3,39,29261.65,Never Married,Female,No,7.528743,15,3,1,No,One year,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,71.4959,235.1372,Morning,2022,7021.93656
I301776,6630d501-838c-4be4-a59c-6f58c814ed6a,87d1c4223e49156020184c01a88973b9,Yamhill,OR,Fort Bend,91204,36.4342,-84.27892,18720,Urban,"Surveyor, hydrographic",0,81,28877.8,Widowed,Male,Yes,8.201821,10,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,71.35403,257.6513,Evening,2021,7015.439922
R252374,70ddaa89-b726-49dc-9022-2d655e4c7936,fce3f21888317907de42e298d718ccce,Point Baker,AK,Yamhill,55347,35.43313,-97.52463,30390,Urban,Sales promotion account executive,2,33,57149.88,Married,Female,Yes,16.86536,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,70.50359,225.1457,Afternoon,2022,7014.911451
M432757,05a49ee3-8fd5-453a-a5f3-82b6cd986856,6c7043ced703b84de29766af3d53c976,Needville,CA,Yamhill,30110,28.27646,-81.16273,13190,Urban,Teaching laboratory technician,2,66,18974.4,Separated,Nonbinary,No,13.51845,20,2,3,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),70.26711,257.6513,Afternoon,2021,7006.344444
C967245,86f17e4d-2c24-4b70-a6ec-dddf0609dbaa,6ffe183271258a039e122ced8750b2a0,Yamhill,CA,Prince of Wales-Hyder,45353,39.19296,-84.4523,142,Urban,Museum education officer,1,19,75687.95,Married,Female,No,17.25284,18,1,0,No,Two Year,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,70.25446,164.9853,Evening,2021,6988.657427
A590798,89490f4b-765f-431a-b302-580aae7db71a,6271cceddef89e353881b8c38b5674b1,Needville,OR,San Diego,33928,41.95142,-76.10744,24682,Suburban,"Teacher, special educational needs",7,55,77919.02,Separated,Female,No,13.97354,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,71.38558,237.6549,Morning,2022,6988.587622
B568158,c32b8522-d62a-49b1-a77a-e0534cb1378b,073356b840a6f10f65bebf6c9c168b3a,Yamhill,CA,Ogemaw,62811,18.3041,-66.32847,227,Urban,Maintenance engineer,2,60,41164.66,Married,Female,No,8.392515,17,1,1,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,69.657,257.6513,Evening,2021,6959.755373
G733851,4828f66e-5592-4c61-bbf4-313cf8731f1c,fe004e8605f165c2c59064fca86389d5,West Branch,TX,Prince of Wales-Hyder,45064,41.37287,-91.36865,3060,Urban,"Engineer, broadcasting (operations)",0,18,44455.34,Divorced,Male,No,10.0165,9,0,0,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),71.91339,184.9496,Evening,2021,6957.206381
C843272,780992d3-d758-4152-aceb-5d59edda3d15,2a93472e2def0e9ea2ead2f8c15c80c9,Point Baker,MI,San Diego,95648,44.43256,-70.11501,52394,Urban,Learning disability nurse,5,21,79611.89,Separated,Female,No,12.68993,14,1,0,No,Two Year,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),71.18005,184.9797,Afternoon,2022,6955.375666
P488779,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,82e2317aca04b63397b31395029f50bf,Point Baker,TX,Prince of Wales-Hyder,2332,41.86752,-87.90222,15703,Suburban,Automotive engineer,1,64,17983.82,Separated,Male,Yes,7.970578,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),69.08879,245.1283,Morning,2022,6954.344959
X37721,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,d43e8bc69c074903d9c618596562747e,Needville,AK,Fort Bend,39057,45.92342,-89.50138,2328,Urban,Amenity horticulturist,3,32,84314.93,Divorced,Male,Yes,9.51866,13,1,0,No,One year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,71.67026,210.1051,Evening,2022,6953.434775
N296260,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,c2b766b12c3780537d74b858ae602a93,Needville,TX,San Diego,97211,37.62326,-120.99637,34962,Urban,Applications developer,0,62,47589.97,Married,Female,Yes,11.02103,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),71.9039,222.6281,Afternoon,2021,6944.850526
W616525,5c3548de-4744-4167-9412-3f018262bab2,66c10f561f108fd744c68c6c5b388c53,West Branch,OR,Yamhill,30912,34.90636,-78.98944,127,Urban,Immunologist,2,62,32213.28,Separated,Male,Yes,9.770236,16,3,0,No,Two Year,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,70.33868,255.1336,Afternoon,2021,6933.85068
D84377,200fad69-1e40-4de6-9222-df84d8925000,90c4427b652ec11afec04bd3c73c88d2,Point Baker,OR,Prince of Wales-Hyder,58528,35.2091,-89.50332,785,Suburban,"Engineer, electrical",3,56,42789.24,Widowed,Female,No,8.91884,11,1,0,No,Two Year,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),71.97435,164.9785,Morning,2021,6916.339606
Q724137,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,34cb26f446dde7d77a6ecc5d7e106942,Yamhill,TX,Yamhill,3595,33.84469,-86.6974,660,Urban,Broadcast presenter,3,20,50637.64,Divorced,Male,Yes,10.97487,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),66.90749,245.147,Evening,2022,6916.234923
T739016,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,21877fa7a1ff6e02e419246b1211b228,Needville,AK,San Diego,61242,41.83594,-88.5206,1208,Urban,Counsellor,4,49,26489.38,Never Married,Male,No,10.25971,14,0,3,No,Month-to-month,No,No,DSL,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),69.91537,222.6326,Evening,2022,6915.693645
